,GSM1369756,GSM1369757,GSM1369758,GSM1369759,GSM1369760,GSM1369761,GSM1369762,GSM1369763,GSM1369764,GSM1369765,GSM1369766,GSM1369767,GSM1369768,GSM1369769,GSM1369770,GSM1369771,GSM1369772,GSM1369773,GSM1369774,GSM1369775,GSM1369776,GSM1369777,GSM1369778,GSM1369779,GSM1369780,GSM1369781,GSM1369782,GSM1369783,GSM1369784,GSM1369785,GSM1369786,GSM1369787,GSM1369788,GSM1369789,GSM1369790,GSM1369791,GSM1369792,GSM1369793,GSM1369794,GSM1369795,GSM1369796,GSM1369797,GSM1369798,GSM1369799,GSM1369800,GSM1369801,GSM1369802,GSM1369803,GSM1369804,GSM1369805,GSM1369806,GSM1369807,GSM1369808,GSM1369809,GSM1369810,GSM1369811,GSM1369812,GSM1369813,GSM1369814,GSM1369815,GSM1369816,GSM1369817,GSM1369818,GSM1369819,GSM1369820,GSM1369821,GSM1369822,GSM1369823,GSM1369824,GSM1369825,GSM1369826,GSM1369827,GSM1369828,GSM1369829,GSM1369830,GSM1369831,GSM1369832,GSM1369833,GSM1369834,GSM1369835
CALY,2.628298397,2.687613401,2.626836519,2.654253726,2.668171072,2.681122916,2.697545263,2.70920921,2.696488933,2.701970524,2.653701339,2.649568063,2.673965144,2.689757655,2.648739659,2.636829425,2.73414393,2.676818433,2.66784136,2.669421474,2.690481275,2.679973813,2.718183101,2.648638689,2.673428414,2.698726928,2.657405784,2.636897692,2.713662084,2.703364589,2.697284018,2.662450693,2.748954172,2.679329072,2.784549449,2.71296379,2.679915245,2.66784136,2.674244358,2.760585358,2.634061457,2.658905049,2.692957747,2.697119097,2.70366005,2.656274884,2.724466736,2.680656555,2.641230564,2.664475516,2.676983201,2.751061919,2.710011933,2.688971486,2.672480128,2.71735607,2.71252177,2.724097938,2.664052618,2.71226656,2.695756087,2.674598946,2.666444568,2.734403643,2.691706612,2.695588198,2.718944704,2.724424485,2.701218351,2.668108792,2.698703842,2.663991438,2.652394602,2.670475205,2.700326078,2.688191733,2.669167099,2.690977476,2.65446251,2.702071413
CAMK1,3.086125635,3.242274794,3.156422819,3.086125635,2.948510955,3.197442846,3.1090859,3.19456475,3.086966989,3.113933064,3.072699316,3.122879411,3.231089606,3.154676762,3.097199223,3.162787154,3.28818534,3.249375752,3.107388621,3.094844746,3.23360226,3.212115189,3.139544709,3.114917575,3.164617908,3.097338682,3.1583485,3.121007186,3.240116984,3.215156709,3.173631805,3.26983792,3.221668688,3.206896506,3.212041953,3.130120434,3.105751753,3.191907994,3.236921359,3.238765838,3.112910128,3.040245103,3.030485695,3.14083468,3.164264015,3.100642956,3.115335407,3.109818965,3.130854843,3.137604005,3.217979694,3.166893593,3.178373863,3.226018152,3.098201941,3.06510531,3.113067487,3.144274247,3.138994312,3.268406497,3.10015289,3.137272317,3.074412968,3.169607462,3.16345314,3.206583346,3.168735184,3.182677765,3.1805551,3.084183912,3.130613442,3.251836869,3.088341415,3.193826986,3.18481098,3.225119261,3.161761056,3.069036925,3.161657524,3.110861749
CAMK1D,2.930564387,2.92817312,2.853222173,2.828153258,2.82738195,2.890039708,2.868412018,2.802979713,2.786807017,2.858444815,2.948066956,2.894892691,2.795235655,2.88044683,2.858764399,2.862979211,2.81384348,2.865177024,2.818632428,2.838318103,2.791855368,2.848162458,2.849197779,2.79381128,2.807604798,2.840081883,2.852271751,2.857018676,2.844211981,2.855997896,2.793769665,2.853351781,2.842209886,2.834139415,2.854098057,2.843245836,2.854220626,2.877173041,2.903298699,2.811963331,2.857192012,2.804521878,2.89787184,2.837424497,2.83248718,2.815268283,2.836977447,2.846785562,2.915080303,2.854074457,2.871418497,2.884246064,2.850708884,2.890751621,2.848256933,2.886214402,2.86229231,2.822640221,2.823770045,2.906562542,2.842449646,2.890091659,2.814345645,2.838235093,2.859856032,2.851153454,2.866648519,2.862569687,2.84715129,2.880299016,2.805098017,2.871418497,2.844035717,2.836162764,2.79010081,2.843803194,2.868459829,2.831679486,2.788849828,2.844786306
CAMK1G,2.915540709,2.948627775,2.874945123,2.916709129,2.910623913,2.904827831,2.902317328,2.885351846,2.920923024,2.947000992,2.943910002,2.907366046,2.901739192,2.915229516,2.909792653,2.881876043,2.911104873,2.894564055,2.916390147,2.899813581,2.877984131,2.937822351,2.897822914,2.892285944,2.899813581,2.888902378,2.919341794,2.935905215,2.922176563,2.908751052,2.937965805,2.928851484,2.892338882,2.912075663,2.929266671,2.893278958,2.924253487,2.890420684,2.908428333,2.923207841,2.898456743,2.881050056,2.952474121,2.936875922,2.937822351,2.885158492,2.91815534,2.931554308,2.927165448,2.934947229,2.893434332,2.908614379,2.926829926,2.930608601,2.921456018,2.914647154,2.902274812,2.92996424,2.902224513,2.915911499,2.91369363,2.884771121,2.912119256,2.942650935,2.905633825,2.92003098,2.910569845,2.932895574,2.943964541,2.925865444,2.916812224,2.905333824,2.944794156,2.878406734,2.955827421,2.918478549,2.916282962,2.922548971,2.925709429,2.91409352
CAMK2A,3.019399956,3.001876019,2.973538193,3.011851731,2.977393115,2.977280193,3.008833131,3.030308266,3.004604508,3.011919355,2.992801704,3.015515197,2.98370514,2.980794093,2.979080733,2.981412728,3.025068077,2.972787556,2.947257359,2.976055665,2.961762219,2.978153222,2.99351754,2.981351192,2.963247142,3.005031106,2.966301648,2.984041777,3.007904398,3.009993315,3.005463149,2.998156319,3.006565882,2.985128646,2.973655108,3.008624143,2.977167094,3.017648703,2.998938848,3.022186456,2.990550371,3.018499308,2.99936477,2.981947656,2.993576483,3.026806753,3.010125971,2.998633246,2.999182829,3.00497416,3.00610367,2.985128646,3.011851731,3.023142321,3.001028206,2.9917243,2.989554803,3.006925242,2.974508776,3.001383814,3.010673029,2.986528728,2.96749073,3.002780704,3.021727566,3.031698868,2.979761117,2.990730104,2.988671067,2.974392952,3.032941301,3.008946764,3.011426441,2.970904418,3.000914422,3.030549066,3.003144909,2.983871464,2.999477044,2.963521227
CAMK2B,2.89104194,2.906289664,2.861490225,2.883070631,2.863429304,2.88985387,2.883440526,2.901972049,2.875517668,2.87435056,2.861889704,2.888201534,2.908474517,2.872937677,2.883070631,2.87669831,2.900786744,2.88325456,2.873512494,2.886510001,2.897822914,2.875786951,2.876424976,2.8801701,2.8801701,2.885202,2.879790467,2.892180691,2.898303511,2.886463406,2.899909459,2.895900287,2.905389895,2.89302482,2.888443996,2.888528583,2.892684698,2.885553156,2.882117362,2.90375364,2.880400998,2.888582483,2.891678936,2.901312598,2.882542481,2.887405545,2.90255115,2.888201534,2.879214358,2.898891048,2.899473108,2.887195845,2.89679811,2.884051573,2.875747653,2.90150698,2.887195845,2.875189329,2.877752809,2.89465256,2.889575539,2.896901205,2.886463406,2.886600026,2.880692499,2.908237809,2.906092205,2.878259721,2.901972049,2.886065362,2.902317328,2.90235925,2.88655632,2.8915469,2.889423257,2.891221377,2.897472192,2.866648519,2.893385693,2.898210044
CAMK2G,3.082572718,3.064114993,3.019057389,3.030609489,2.989798023,3.096979609,3.048684456,3.053861804,3.010732389,3.007527399,3.022126284,3.028577121,3.070486973,3.032996636,3.007789578,3.070220914,3.043246086,3.060324779,3.011426441,3.011545747,3.036602813,3.028137254,3.017257551,3.033176916,3.032879942,3.057365102,3.047796169,3.04547341,3.1095489,3.057169831,3.034064897,3.073176425,3.037647986,3.065040591,3.062703108,3.063692379,3.040171968,3.055246323,3.076112417,3.064248304,3.046289493,2.9917243,3.054051891,3.081576595,3.04886972,3.053228837,3.048559812,3.046544691,3.058405662,3.035980439,3.056918332,3.031446793,3.010884116,3.063629051,3.047098949,3.022565224,3.045541734,3.022753863,3.030365744,3.079170886,3.01781636,3.038503525,3.048081914,3.0561001,3.037176734,3.071994524,3.051793346,3.070158716,3.081655436,3.0549201,3.087382655,3.01700643,3.069564949,3.084769497,3.050329851,3.044695104,3.064442292,3.069640101,3.048802376,3.062949044
CAMK2N1,2.715678144,2.741349488,2.786121522,2.757084322,2.801589415,2.753342912,2.75402821,2.780415522,2.772869029,2.771973858,2.744702373,2.748622258,2.733270934,2.765171383,2.746137227,2.740659265,2.735140283,2.73353009,2.739436641,2.800914109,2.759324252,2.767276849,2.741206343,2.742723938,2.740762484,2.791054686,2.739436641,2.774668579,2.73242719,2.747058732,2.761965282,2.737725514,2.718183101,2.752954795,2.718660439,2.759140875,2.728128335,2.740866318,2.741643555,2.716527007,2.765362112,2.776309932,2.746730672,2.743474608,2.765559812,2.719788131,2.791941832,2.74598534,2.749511463,2.687829704,2.757521281,2.744132369,2.706400057,2.737680567,2.753822803,2.714471518,2.722700595,2.741423468,2.773499173,2.735826562,2.70936884,2.77039925,2.747857629,2.754818222,2.723257126,2.727091574,2.742991987,2.740515865,2.800914109,2.738467364,2.731988546,2.72487413,2.749463079,2.771923967,2.720059611,2.723162662,2.763529537,2.786833725,2.718452279,2.788819549
CAMK4,2.704352052,2.736465068,2.765710892,2.734298653,2.703544961,2.707997072,2.72537467,2.73606449,2.699886688,2.724920798,2.700279881,2.712494572,2.70642903,2.735095839,2.713883012,2.742946418,2.71056456,2.707181009,2.697760728,2.715514963,2.722273876,2.733741802,2.737827871,2.719920057,2.730998339,2.731719559,2.724152013,2.706815506,2.727091574,2.743725294,2.704197995,2.724466736,2.778634694,2.706197473,2.767635405,2.723307957,2.709478179,2.738512109,2.725038544,2.738889354,2.707616769,2.681740268,2.751861022,2.731498439,2.739327945,2.71876903,2.713614794,2.741264375,2.713614794,2.71981495,2.729436453,2.723028538,2.764191382,2.726674363,2.74767398,2.668683324,2.725214695,2.742323321,2.718065892,2.768901792,2.714747358,2.725897835,2.730998339,2.730305384,2.713936168,2.729590746,2.718503651,2.753094064,2.746137227,2.740713618,2.746318542,2.731877091,2.721983579,2.69809892,2.752354018,2.722128099,2.692410875,2.718126558,2.729944805,2.732979194
CAMKK2,3.106686787,3.129202785,3.103714218,3.096752504,3.080018806,3.114386542,3.082913886,3.077669961,3.087970713,3.113147681,3.130043474,3.131595328,3.16392887,3.125272609,3.094245717,3.072769666,3.13151022,3.0931137,3.112683277,3.146573847,3.118773663,3.112538181,3.100375494,3.129126179,3.146733902,3.117165689,3.075340512,3.108788364,3.114298236,3.122585072,3.100557693,3.175539981,3.103480162,3.099339472,3.141061719,3.09985658,3.06938115,3.107926865,3.114540233,3.103223617,3.067804824,3.083130554,3.12273068,3.080163537,3.094019258,3.134627197,3.096396016,3.109152579,3.081797882,3.131909659,3.11557031,3.09092159,3.075474574,3.11813025,3.139714134,3.099166536,3.125607297,3.090334076,3.095295584,3.065596141,3.123606132,3.114386542,3.097832958,3.110585019,3.104269523,3.124051638,3.116711924,3.103405164,3.143932184,3.11033881,3.104072282,3.11109257,3.111671609,3.132484221,3.129369375,3.095717974,3.107086591,3.115154958,3.098645728,3.105610897
CAMKMT,2.77212086,2.756595812,2.712494572,2.697119097,2.733270934,2.71911857,2.692474737,2.73252203,2.737433943,2.744484482,2.73124605,2.784908618,2.733891315,2.731294676,2.732181509,2.724035711,2.72506602,2.753935252,2.766237319,2.730858393,2.717510157,2.757044155,2.715790563,2.712214855,2.749882869,2.717457326,2.728831459,2.754071495,2.713295942,2.73145202,2.762015888,2.664914477,2.73145202,2.723257126,2.725115887,2.758996267,2.702071413,2.718248348,2.728768228,2.746081266,2.733471905,2.760437054,2.72849571,2.721827513,2.717737611,2.769639004,2.731937982,2.715846106,2.72610014,2.714958275,2.758553291,2.719162276,2.715337113,2.742991987,2.706589935,2.720957305,2.740323966,2.769905186,2.734348377,2.747199941,2.751017235,2.727883325,2.728402885,2.728708548,2.762183697,2.752954795,2.719325654,2.729536512,2.74555096,2.701017097,2.735440655,2.75402821,2.750419725,2.736225895,2.740270597,2.713510666,2.754156977,2.7043011,2.736560694,2.714471518
CAMKV,2.968678234,2.990439886,2.983301395,2.943303887,2.966350376,2.954438698,2.958423868,2.980499507,2.950263557,2.959493831,2.982976096,2.998446303,2.977604358,2.948894669,2.963361652,2.923333457,2.997914219,2.954544933,3.003636875,2.975646734,2.921456018,2.945991826,2.981412728,2.917411569,2.945434123,2.966301648,2.897634464,2.928365806,2.993395286,2.971235341,2.991142206,2.937255247,2.965780526,2.960161035,2.981584142,2.95900202,2.963915766,3.008197388,2.939254389,2.997236617,2.977438654,2.952143345,2.958881831,2.972677919,2.955345266,2.998999866,2.937729126,2.973887539,2.984520218,2.965780526,2.950808877,2.979245556,2.966399571,2.946679643,2.98146925,2.9975791,2.972677919,2.934894982,2.921348068,2.907488683,2.977761213,2.97948551,2.929479023,2.967437385,3.002223226,2.991481358,2.985509411,3.017721886,2.968968951,2.971917422,3.016412123,3.034125762,2.96681268,2.926621344,2.976754674,2.995319712,2.94878992,2.972736388,2.908971704,2.910172584
CAMLG,3.198248319,3.22124667,3.153192926,3.152024128,3.208362391,3.17874513,3.181914175,3.099711701,3.16392887,3.203415474,3.224217369,3.184300128,3.103842807,3.188364142,3.195682922,3.212510575,3.171641579,3.23945582,3.204745516,3.17874513,3.13813565,3.209826033,3.198835887,3.196953668,3.187696893,3.164452594,3.220400466,3.195887437,3.187696893,3.147116875,3.123038136,3.111984467,3.096082496,3.134700167,3.120243082,3.06510531,3.166372444,3.164177613,3.173961016,3.124616368,3.144274247,3.133144787,3.204198618,3.202606589,3.173707401,3.12954475,3.259530463,3.180393796,3.142145583,3.135765627,3.154597371,3.181730395,3.191554836,3.168735184,3.15567435,3.200902155,3.186126729,3.181017205,3.1820955,3.143274091,3.193732821,3.137950944,3.201054447,3.134379078,3.128895313,3.17702162,3.112603093,3.134627197,3.090697583,3.171037142,2.997630127,3.107221582,3.173631805,3.170605085,3.160240009,3.104959203,3.193645627,3.241153018,3.146033196,3.183463359
CAMP,3.433101583,3.477876587,3.491087081,3.172760818,3.544368904,3.327452066,3.311187275,3.22763772,3.349393964,3.273384047,3.304495728,3.557393334,3.553144463,3.059060173,3.469977641,3.358456353,3.265842665,3.479464967,3.112910128,3.330390397,3.228066059,3.324632441,3.546493179,3.582022375,3.318600002,3.642872718,3.412275058,3.374559635,3.454494025,3.677450585,3.302729322,3.58658682,3.262145469,3.592303083,3.157900264,3.715043373,3.242896849,3.111400794,3.173021195,3.25555916,3.026314308,3.606625373,3.26375674,3.425257213,3.173021195,3.518986086,3.136773619,3.473274342,3.088267978,3.095572464,3.296638292,3.084623245,3.270629549,3.473773904,3.14846752,3.261144704,3.384996104,3.293881446,3.209996177,3.323992176,3.321707794,3.243640087,3.150021884,3.305243823,3.095295584,3.303986053,3.240023806,3.227733246,3.159906713,3.108069201,3.328910061,3.400061126,3.30609191,3.434960154,3.238765838,3.283646324,3.379237954,3.619507053,3.640862171,3.39203798
CAMSAP1,2.818769124,2.82709475,2.805098017,2.821652677,2.80603362,2.824677947,2.822358926,2.796443222,2.799608599,2.834597777,2.814077548,2.836384743,2.802796123,2.827044864,2.81881805,2.818065039,2.80329482,2.804055051,2.845769081,2.801817999,2.795503738,2.826329182,2.826871341,2.828916474,2.815358367,2.816261607,2.83509508,2.821702011,2.807246344,2.814033881,2.801589415,2.806545099,2.811460579,2.793594783,2.808359277,2.803716821,2.814389975,2.805586188,2.802011625,2.792430726,2.837066048,2.822640221,2.812108408,2.810680089,2.820769516,2.796915917,2.821144634,2.821602577,2.822123862,2.809309011,2.797575333,2.829264651,2.759324252,2.81601242,2.838918737,2.819089816,2.823716264,2.819294979,2.819246525,2.810933105,2.834550987,2.805383963,2.837812868,2.83665513,2.809453513,2.798034553,2.794994446,2.812727627,2.817815296,2.840966836,2.816787462,2.796728993,2.807345412,2.806307899,2.80816749,2.795235655,2.819865765,2.815960781,2.819906842,2.809640149
CAMSAP2,2.748288298,2.696160223,2.73252203,2.733471905,2.705897068,2.737377824,2.725214695,2.728128335,2.73009708,2.719555445,2.72754955,2.724563529,2.710778741,2.761300672,2.73722423,2.722965531,2.70084553,2.715226135,2.737969658,2.708256895,2.715790563,2.708148243,2.718354842,2.720172619,2.738365618,2.707018611,2.71735607,2.738665097,2.685101504,2.699167672,2.735926976,2.70549161,2.708256895,2.694367624,2.703152012,2.696661361,2.716117472,2.725163209,2.717510157,2.711091326,2.718065892,2.754156977,2.715463065,2.727597516,2.713883012,2.712763258,2.760585358,2.729642472,2.723764083,2.706815506,2.710512134,2.698779479,2.699118925,2.710456322,2.73331865,2.711144767,2.734875225,2.719555445,2.720117717,2.717028939,2.714904022,2.752036957,2.720594203,2.730258339,2.720594203,2.728036022,2.696000205,2.72537467,2.713936168,2.733583811,2.699167672,2.694643133,2.740416315,2.732181509,2.696323843,2.696711731,2.703902262,2.763242048,2.726770864,2.704905715
CAMTA1,2.658849829,2.663265486,2.65573152,2.629208646,2.634760029,2.655414568,2.637456197,2.632011569,2.624592569,2.642051096,2.691341718,2.656133215,2.641505571,2.640493081,2.655225664,2.64102885,2.675332351,2.652911949,2.678404337,2.677729351,2.643738745,2.648444768,2.663179664,2.62511337,2.646308139,2.663438892,2.637745228,2.663580803,2.660678276,2.636463361,2.641230564,2.662710516,2.629272915,2.675454834,2.621715752,2.654382192,2.639668604,2.651062847,2.633847783,2.69339826,2.716212312,2.658723508,2.65277381,2.637103228,2.662893422,2.686837733,2.659657103,2.617273658,2.679113707,2.681906769,2.650490461,2.642821436,2.653499108,2.68193576,2.708815372,2.690232502,2.666557057,2.649384653,2.68125172,2.672320752,2.671172713,2.653949699,2.703223379,2.671450676,2.68125172,2.675578113,2.682731023,2.655225664,2.686722511,2.657649121,2.664052618,2.665033268,2.654587966,2.636051881,2.643586635,2.682555989,2.636963687,2.649568063,2.63625841,2.627923283
CAMTA2,3.214753357,3.201054447,3.145696235,3.126726202,3.152805189,3.190941357,3.18074908,3.182387328,3.105969865,3.1820955,3.142145583,3.166293401,3.205903041,3.144991056,3.192651259,3.163338072,3.203917429,3.209826033,3.166293401,3.161565324,3.18074908,3.161859324,3.159629267,3.150199891,3.206188366,3.160073374,3.171564032,3.148183175,3.18596425,3.183288853,3.179206569,3.183845532,3.181017205,3.205903041,3.181450928,3.175628089,3.171802091,3.184009698,3.195403222,3.185777464,3.18596425,3.222960225,3.142593375,3.180299429,3.15530612,3.160766058,3.181994919,3.176502751,3.176080511,3.189525119,3.206792772,3.175199051,3.12905866,3.162188055,3.166544644,3.221982375,3.162024376,3.166372444,3.159112822,3.15182819,3.15530612,3.168555943,3.197634787,3.184300128,3.179934093,3.149442862,3.172671571,3.173369111,3.192651259,3.151306864,3.176679393,3.215842135,3.181541142,3.191099237,3.199860889,3.177656008,3.201764052,3.201249426,3.180932019,3.195311596
CAND1,2.989078657,2.984900164,3.083762577,3.014273612,3.075980315,2.992801704,3.03700385,2.981829985,3.027583068,3.029706085,3.050191543,3.031446793,2.977713743,3.034464668,3.025437053,3.004083817,2.952143345,2.993217174,3.076371061,2.988185629,3.009929089,3.022246345,2.990145316,3.058922591,3.039124728,2.982740481,3.040360229,3.006497679,2.97864431,2.950165309,2.989376817,2.925327413,2.9482865,2.953850357,2.893996666,2.975646734,3.035596822,2.945051665,2.953591515,2.963145413,3.073695175,3.059282968,3.019713751,2.996670177,3.027837838,2.983808802,3.03310702,3.001986494,3.000271386,2.988120962,2.947000992,3.011253446,2.92027652,2.965560585,3.026246791,3.035727048,3.010504647,3.012893068,3.046353669,2.965282975,3.012834635,3.004083817,3.052575721,3.017310337,3.008078301,2.946464542,2.966577444,2.981186976,2.975765769,3.014575986,2.951737302,2.905888316,3.002336547,2.990276041,2.961362216,2.955876358,2.970552119,3.007904398,3.011018578,2.957303803
CAND2,2.730201651,2.748910947,2.757521281,2.745296125,2.742723938,2.755750012,2.752492109,2.748115839,2.776579874,2.730175578,2.716527007,2.709421994,2.729021455,2.748812183,2.74930553,2.710290812,2.718503651,2.741396526,2.713614794,2.800440145,2.755854321,2.700109137,2.745203139,2.722528091,2.735238343,2.68562122,2.727186957,2.742416813,2.76125194,2.742946418,2.73252203,2.754625567,2.743572047,2.712046053,2.74322596,2.721240133,2.729853306,2.732088065,2.732719547,2.717849288,2.654716695,2.746318542,2.792479017,2.698838159,2.746274362,2.739729826,2.67968101,2.73009708,2.74622948,2.740471285,2.712214855,2.717849288,2.742073926,2.751902026,2.749194394,2.676774571,2.728128335,2.735718725,2.730450817,2.711386309,2.7043011,2.745930015,2.725589955,2.727186957,2.731103335,2.683049857,2.738072753,2.726419412,2.759806337,2.764348537,2.719275973,2.728657277,2.711571902,2.707554396,2.729750867,2.712046053,2.729383589,2.750120089,2.707181009,2.74790891
CANT1,3.209733855,3.284620588,3.16345314,3.221352467,3.166372444,3.25105544,3.235186414,3.227430418,3.206484466,3.230217285,3.142665157,3.211727821,3.228589402,3.223059943,3.204198618,3.215842135,3.23726266,3.278742265,3.186768004,3.210758035,3.24182177,3.233931529,3.228496973,3.187511795,3.231701887,3.187511795,3.238765838,3.222063667,3.230792045,3.248105219,3.231701887,3.224528003,3.233388567,3.228404026,3.238228092,3.211727821,3.149015781,3.265842665,3.238228092,3.223265175,3.152180447,3.162277192,3.165063613,3.235074056,3.192651259,3.207992944,3.189052611,3.185163975,3.232021819,3.217205735,3.254224694,3.190054766,3.165975089,3.255469264,3.219123135,3.123288254,3.20134238,3.182573374,3.198555235,3.243640087,3.216206157,3.207793705,3.167228996,3.195682922,3.190749805,3.195682922,3.227009639,3.176757877,3.260457631,3.191907994,3.200945687,3.225502539,3.21938118,3.269623616,3.221146699,3.225405941,3.220400466,3.191099237,3.223830825,3.221461924
CANX,3.3713641,3.517296574,3.504178015,3.524115727,3.51665943,3.482344298,3.488367728,3.499458161,3.533066839,3.390203664,3.515460007,3.512057018,3.502057516,3.517637108,3.513747499,3.427906657,3.458720676,3.463022595,3.54849527,3.522579089,3.528156331,3.489154821,3.479976359,3.499458161,3.523761853,3.491966469,3.512057018,3.500051723,3.515081532,3.494749028,3.509380432,3.508424843,3.511296237,3.452519647,3.516380022,3.53561891,3.525482253,3.483750927,3.514117234,3.494749028,3.525118004,3.507256219,3.523761853,3.519956632,3.507256219,3.491636369,3.500698697,3.480767091,3.5100596,3.506916291,3.506016872,3.47731965,3.427612723,3.493246306,3.528156331,3.476759313,3.533066839,3.496488971,3.514756978,3.512803119,3.500698697,3.505366427,3.532736149,3.517296574,3.518640364,3.497081063,3.503845743,3.502687375,3.517296574,3.531586271,3.510712875,3.451870131,3.525482253,3.510994381,3.511702534,3.474264187,3.474264187,3.506283821,3.476533845,3.480767091
CAP1,3.671280428,3.694812661,3.657908955,3.657143958,3.618966431,3.668556271,3.649321928,3.69133158,3.663601152,3.68131709,3.595419636,3.611472634,3.675159429,3.65859393,3.644361906,3.687808531,3.665763986,3.693933876,3.650590963,3.665045278,3.688763417,3.688763417,3.67210546,3.669254463,3.649905613,3.667143407,3.671280428,3.678189199,3.670581076,3.675159429,3.671280428,3.683749083,3.679197098,3.667877693,3.682980302,3.667877693,3.693933876,3.642872718,3.68131709,3.684540534,3.690479293,3.668556271,3.670581076,3.69133158,3.684540534,3.674347217,3.665763986,3.667877693,3.669254463,3.68705711,3.690479293,3.68705711,3.636829745,3.68131709,3.693113759,3.669936063,3.668556271,3.696624884,3.68218751,3.697690768,3.68218751,3.6613474,3.679197098,3.701826782,3.69133158,3.697690768,3.674347217,3.704510675,3.700209605,3.67367348,3.687808531,3.651262039,3.655232367,3.692100556,3.619507053,3.685313404,3.6613474,3.675159429,3.67367348,3.649905613
CAP2,2.666557057,2.672786482,2.672424548,2.674537718,2.673250043,2.668422551,2.665581126,2.665226661,2.658590169,2.666809768,2.643810592,2.690853416,2.672371768,2.652152029,2.66139072,2.663580803,2.665953403,2.643879111,2.660420379,2.678278386,2.66784136,2.658790294,2.663916374,2.665354712,2.677847291,2.665226661,2.684709494,2.704253912,2.686722511,2.640177054,2.673845923,2.646308139,2.669167099,2.691040384,2.657405784,2.660545329,2.637456197,2.654120316,2.666934338,2.669864592,2.658590169,2.666809768,2.65671792,2.641577956,2.683049857,2.640493081,2.673005047,2.708478376,2.650807436,2.672845353,2.662396009,2.666444568,2.686089794,2.684412254,2.661710742,2.646720542,2.669359362,2.663109199,2.671840161,2.643810592,2.665161267,2.642758766,2.658590169,2.656789573,2.663528481,2.714697962,2.69409532,2.681443097,2.698509385,2.64102885,2.701584262,2.674343947,2.687568916,2.665161267,2.658185324,2.694466747,2.657150259,2.675043939,2.673478281,2.675454834
CAPG,3.480767091,3.522579089,3.527540857,3.545020374,3.300678908,3.488635839,3.471512141,3.54141161,3.506283821,3.53054035,3.49676303,3.520294011,3.534585418,3.550990635,3.471274875,3.558248558,3.544368904,3.522579089,3.491636369,3.467565893,3.446707831,3.537769732,3.502057516,3.474562536,3.511702534,3.510712875,3.502687375,3.510994381,3.535955098,3.538531936,3.509069745,3.475357663,3.532736149,3.582528029,3.474003772,3.492627334,3.49296321,3.479739652,3.53888164,3.510712875,3.493246306,3.411255113,3.422137105,3.542522974,3.495553892,3.459474447,3.522974828,3.450335479,3.473274342,3.532003126,3.497081063,3.512057018,3.563082869,3.54141161,3.4842672,3.519956632,3.476533845,3.417530981,3.479174395,3.49676303,3.520614891,3.440349515,3.512803119,3.507256219,3.46659242,3.545378609,3.574760613,3.542183491,3.564316675,3.484014657,3.533800836,3.53888164,3.468083969,3.507256219,3.502966435,3.569693683,3.511702534,3.547799953,3.498308352,3.532392834
CAPN1,3.118053006,3.124536648,3.104644695,3.1216227,3.047289507,3.223918703,3.117641451,3.12432989,3.089708296,3.091502601,3.092212372,3.083799466,3.166459078,3.110503477,3.098201941,3.127118528,3.110800825,3.199566573,3.097477321,3.124371267,3.128381391,3.159796696,3.142414229,3.135031112,3.126797577,3.122183022,3.148364939,3.11978159,3.150970907,3.131826954,3.132156133,3.174572669,3.167410497,3.199112919,3.173189567,3.179934093,3.087759936,3.126020904,3.147373206,3.21417932,3.040704184,3.039519758,3.113766238,3.172595294,3.09646911,3.092074487,3.107456539,3.108402998,3.114540233,3.152684169,3.186675478,3.100642956,3.010673029,3.170396869,3.120641566,3.085203355,3.124860883,3.112833138,3.120923915,3.224528003,3.129837917,3.08186703,3.085203355,3.150780261,3.062628362,3.150522503,3.184968591,3.154842214,3.194324204,3.136224548,3.149835865,3.171641579,3.082979906,3.138389726,3.038436985,3.172595294,3.092678157,3.120323053,3.0931137,3.130214577
CAPN10,2.894892691,2.897330821,2.852223455,2.901010781,2.864904462,2.901739192,2.869022606,2.878874013,2.852898226,2.888625474,2.820352195,2.87031775,2.905733362,2.873048513,2.851327491,2.885843659,2.877266672,2.887547283,2.850749848,2.849197779,2.876162645,2.886649952,2.860163479,2.849963848,2.870594323,2.853624517,2.865545581,2.872560382,2.878314507,2.879696212,2.878874013,2.88371134,2.882673276,2.896210177,2.908751052,2.866280715,2.845446575,2.869760185,2.907892282,2.888443996,2.855404852,2.888670723,2.891258088,2.879160559,2.859544102,2.907744835,2.861212416,2.864404217,2.870406068,2.885649741,2.884246064,2.852817668,2.87850668,2.886600026,2.85326833,2.877266672,2.82738195,2.866792733,2.876334339,2.858444815,2.882583786,2.85934544,2.865079592,2.870693066,2.848162458,2.886065362,2.87850668,2.880692499,2.890997409,2.895622734,2.882363588,2.896602381,2.867159342,2.88172313,2.877319298,2.878163329,2.867814149,2.833269542,2.85514904,2.87669831
