"","GSM6206942","GSM6206943","GSM6206944","GSM6206945","GSM6206946","GSM6206947","GSM6206948","GSM6206949","GSM6206950","GSM6206951","GSM6206952","GSM6206953","GSM6206954","GSM6206955","GSM6206956","GSM6206957","GSM6206958","GSM6206959","GSM6206960","GSM6206961","GSM6206962","GSM6206963"
"AADACL2",0.227728285299489,0.475244561518815,-0.10895347846643,-0.0529209503171689,-0.103747698634663,0.117660426246572,-0.52460982932131,-0.0161597464234677,-0.383873290142624,-1.46799850970876,-0.891853831449202,-0.405396100126183,-0.78109573530467,1.72128705776073,1.07361262999087,-0.383873290142624,0.209956882743664,-0.0700771981963072,0.258069057449651,0.706765181645447,-0.030724958620146,1.95394695475103
"AADACL3",0.339452902147154,0.145420507964836,0.583645493873606,0.0916006973121465,0.250012669988262,0.703356485819289,0.0748190071529732,0.618843619773872,0.52646693227369,-0.00395516237621591,-0.105392069770395,-0.0408938469545425,-1.164795259686,-0.241818895793701,0.999196234349896,0.539989625782304,-0.136433530145756,-0.0995374604680095,-0.246770997708426,-0.839521776963185,0.435460050153303,-0.567584593636993
"AADACL4",0.0950291347070684,0.477129263082,-0.179493323861194,-0.0529733082610548,-0.0921620716129696,0.214312229753285,-0.586294339950328,-0.0511549455758006,-0.497789039204322,-1.31285285054752,-1.08116902754266,0.737416504982522,1.59254364076871,-0.0339786835958749,0.918663760782406,-0.32387666692691,0.0908589924515614,-0.109446205573377,0.0842537228630802,-0.357264239713103,-0.141210343815629,0.728121292068836
"AADACP1",0.199775231829575,0.112153146304203,0.316765855046369,0.378079382655683,0.0498355863235375,0.0940440783866218,0.392802793568946,0.4088631206257,0.223355982612924,-0.16448241885544,-0.714887694120689,-1.28153280581736,-0.307386917159829,0.893425352311811,1.06109715203595,0.132538065850097,-0.415935315871306,0.417753273786769,0.483995703826808,-1.06539118055084,0.829432647448014,-0.163459045673159
"AAGAB",-3.24852680554335,-0.336556828899183,0.461363881203543,-1.38631928486765,0.501289256704751,-0.285040611122846,0.0467286989206323,-0.811971322922839,0.566604975919625,0.157086693377741,0.221676669492614,0.699089377590304,0.22961944728234,-4.05738748734387,-2.18761627825956,0.359012526298774,0.430054740913549,-1.24156091842562,0.585640905036996,0.974977681346224,-0.75002002054278,-1.9253723625902
"AAK1",-0.761697384645135,0.0244198133008682,0.439673218799586,-1.3052783954974,0.583113609359668,0.891070282309509,0.209126676472728,0.466643184199108,0.932708033580895,-0.0728389854756065,-0.0512314595328959,0.156766851674735,-2.00923052406178,0.451860700694643,-0.0720865197667004,0.40841664134193,-1.08551318474435,-2.80632535040385,-0.818256444142943,-0.41738202048271,-0.0108890576950915,-0.494925305529206
"AAR2",-0.4562309618187,-0.724929973028214,0.1322616624472,-0.412070921326305,-0.132572731636189,-0.52431848128873,0.123679848503233,-0.351899444407471,0.322608423764146,0.23317934709839,0.548276072053217,0.902902389241011,0.017927258567056,-0.100370356867897,0.348074063039963,-0.0650178421734412,0.0563692435391543,0.362776993829529,-0.180212145176247,0.291958940352215,0.328263987318663,0.481035329176829
"AARS2",-3.38694947628829,-0.307386917159829,0.200048131577962,-0.23777077036418,-0.502742812267678,-0.181190037072596,-0.763150102939098,-0.316830446778528,-1.06855446753404,0.479324723997772,0.591360250193283,0.995391187372377,0.141752580570359,-0.446943144611562,-0.481271579228835,-0.4670773368811,0.0639821423838685,0.638142215892008,-0.172448283926696,0.604781383630521,0.0888119432819133,-0.207726894222135
"AASDH",-0.0285582767874409,-1.96885185844776,0.964007245429541,0.281645264238217,-0.156888885072881,-0.360850856902414,0.0162296481232909,-1.32799464926157,1.06084197183667,0.789874162462144,0.356573667250832,0.247820704240377,0.226594087326772,-0.291553049855478,-0.399813654081831,0.521990658096779,-4.57584077475019,0.406553424445671,-0.562093705448223,0.27299873514696,-0.120070481180789,-2.18235862619731
"AATK",0.242790402544109,-0.319736102845693,0.488289077607632,-0.294115490559731,-0.239327639489104,-0.232948399331762,0.155359299108402,-0.81498402739293,0.683735447854938,0.386933848798581,0.154456638454567,-0.796259650874666,0.407107102622649,-0.132771185580959,0.424814234351797,0.638519525506103,-1.13441748107041,0.322743277611169,-0.23044927690554,0.858167246581923,0.606711746223564,-0.104031160537624
"AATK-AS1",-0.370440950858796,0.160179261995523,0.269309943319529,-0.707317019095163,-0.827715339167525,0.0785887769103107,-1.93077364648709,0.406497161303089,1.19873003644444,0.0510432168236883,-2.45032468011961,-0.182638656332923,0.505792012895632,1.50088591624809,1.06195714072164,-0.340420911244144,-0.855964947522622,-0.822332378814055,0.289583007562057,-0.0299834987929925,1.05998647534265,-0.351219534927086
"ABCA1",0.0691081613332971,-4.91511893750543,-0.898483093627388,-0.193742007436912,-0.0293659736063985,-0.130625579828824,0.683934327486395,-1.0335356399831,0.283709932623005,0.521906056038345,0.372232591789682,-2.01222499238796,-2.56779597609263,1.17962514576877,0.882446912524118,0.302688015822488,0.402050075526679,0.454780114496401,-2.39580712835434,-1.1902476461003,-0.632316679766077,1.21870619683143
"ABCA13",1.48400482985536,0.986695197160362,-0.2321152831395,2.63585266434213,-0.376782860444322,0.504113501472822,1.98152489767369,0.285713673336916,-0.672331358984952,-1.12875285576319,-0.70449315265774,-0.0284803910269588,-0.228929139689181,1.50125836079484,0.954107290479543,0.19343911033815,-0.109068087433279,1.80629327644251,-0.0992923062670674,-0.616215811195815,2.70539922556793,-0.131760738352125
"ABCA17P",0.410924742583916,0.786087276503252,0.193331630032052,0.168529173571017,0.161230299722887,0.363384711898862,-0.183494515285289,0.273491046606032,-0.0957149591030514,-0.464976964577764,-0.269349613489285,-0.0848239330690269,-0.298390513273989,0.269963732946116,0.124008418732537,0.0697753504248774,0.318982497337084,0.152754028477577,0.424613915131988,0.0167788956147848,0.195778866893927,0.310944244898256
"ABCA7",0.0400967570354576,-1.5153223233843,0.293208411582632,0.0716251574953505,0.800510992894272,-0.172774447373868,0.0879518911898138,-0.120405358838635,0.125975357172453,-1.63754907771452,0.199775231829575,0.59857859486061,-0.276420835707078,-0.239811555703956,-0.644882105416886,0.857306678496961,-2.5897951744464,-0.869004312501282,0.630095759460402,0.760208377455104,-0.283738961507361,0.821448592136336
"ABCA9-AS1",0.291958940352215,0.92083352502427,0.958266717304349,1.21566465439441,-0.520419532546873,0.37818643438645,-0.299788060506512,1.5513074083742,1.1618051774823,-0.0743052814046271,-1.29348257759865,-0.0707535130495549,-0.289668568148399,1.45295045099677,0.127412820060558,0.0902318841920726,-0.203897233622187,0.447493529219905,-0.263875484093621,-0.861046227615731,-0.250221081267014,0.773110401705184
"ABCB11",0.431531951257182,0.853342545898918,0.147477810693981,0.0767674357691054,0.0784304950309209,0.464803852637485,-0.170611394188361,0.294498622172093,-0.184771916231065,-0.433551458321789,-0.256160577102111,-0.0582077862899037,-0.213058658326328,0.290561761579757,0.223271729006792,0.164607664098796,0.201159612051717,0.0170638979712117,0.307322118848231,-0.0936839941990887,0.16328216074976,0.359190308758977
"ABCB7",0.339342231184825,-0.0915817248538172,-0.438756265497017,-0.299406381289405,-0.186633713010143,-0.142249168529057,0.0671493330478396,-5.82855624807145,0.494492687301236,0.286781483189088,0.0126964759742412,0.285181342674587,0.192597181135159,0.479632879257646,0.651414704530546,-0.371030200432946,0.279755028517867,0.24703814826641,-0.207109235785248,0.133185624263836,-0.303047176820669,0.658405485836402
"ABCC1",-0.110523064540642,-2.61531371332446,1.0262866676126,0.985249952646179,0.775430061230631,-0.326554515561436,0.970891529640239,0.294397786235542,0.127981863891234,0.299547792713569,-0.106802371381612,-1.40377021920862,0.0423234847042995,-2.19957895188095,-1.06301829320484,0.139472753030628,0.668042251605782,-2.98059061465425,-1.0145787610328,-0.215160036017091,0.261211671056845,-0.547181904199592
"ABCC12",2.77696181535571,0.442489916231243,2.47373673220034,-0.112937395627358,1.30314000907268,2.38180844021666,-0.507570813123386,-0.112833252067118,1.25227642302694,-0.979355985539016,-0.693731899345395,-0.639809239877368,1.75221019485721,-0.00609506599770194,-0.198960151887784,-0.296111026554573,0.0383481983610699,-0.207018192256784,0.0802686829831751,-0.37963863064575,1.0455505912421,-0.0273723366692153
"ABCC13",2.01086657719516,1.8156279519543,-0.175980752194222,-0.15881287933652,-0.202625945517174,0.268270343805678,-0.298573473591464,0.0333621708657887,1.30621036996956,0.665740917131725,-0.148855211236217,2.22161359953232,0.545921442390704,0.0738358439661108,-0.024198363399252,1.39070749643063,0.0413865080708111,-0.146692159449751,1.12468071441849,-0.379383395504446,-0.075917438830547,0.00123818580224004
"ABCC5",-0.566956561504383,-0.896368106764677,0.665038299779782,-2.03450897654287,1.11580788536885,-0.176653120796482,0.923715424208914,-0.861575925389011,-1.84066762204072,0.387189906283717,1.01101037144089,1.64914263700591,0.757186907753288,-2.00013693793124,-3.80745812705884,-1.13339245585815,0.892888276537224,-1.1812578513804,0.368489181147058,0.706318756091372,0.466153860709419,-2.8531154605938
"ABCC6P1",2.06360867671376,0.341767487046638,1.04958551964438,-0.273571921400734,2.03640536978664,0.219352746220677,-0.70969207591414,-0.216193828849585,2.23102099718921,-1.640884512793,0.176289308546261,-0.82580927264707,1.39368392993231,1.81705524386439,1.97314032958136,-0.387526697062227,-0.15881287933652,-0.315948862617028,-0.194533512212047,-0.747175554348915,-0.245387065039454,1.76874868137206
"ABCD4",-0.238234298335636,0.127076157777427,0.196716528240759,-0.721060932326921,-0.710495517279869,-0.0595706940833156,-1.74910222615195,0.869319602980502,0.803400322006029,-0.487056344405909,-0.0703180416396079,0.00258839538772147,0.0562419456950219,0.724599043290731,0.695064717466062,0.306305167902405,0.127735359778876,0.189661394381551,0.184706038867768,0.144287014252903,0.381839671034837,0.754533356517762
"ABCF3",-1.84835087365321,-0.544235745646359,0.50078772978487,-0.0510233288790691,0.361824755436598,-0.918560681277681,0.422608972313469,0.127927616550595,-0.668161847054696,-0.0238819393177027,0.621405692242062,0.384613588618822,0.0636550666344802,-1.53416653334605,-1.52161941028793,-1.15093477217856,0.0283160301282738,-0.281598823941999,-0.227115090400945,0.294130416234753,0.28355857041431,-0.332573902149563
"ABCG4",-0.440363750153483,0.177837845207678,-1.38055572858069,-0.833324053812893,-1.27420844037425,-0.0960792527365771,-1.81997081768924,0.786259137811375,0.214575670862047,0.321254704631521,1.26748765594976,-2.2942332941252,1.00114519113276,1.57533518513433,-1.3055706622252,-0.91069521616625,1.47961589649883,-0.242870266351042,1.33539024680377,1.35918085595208,-0.984369309263795,0.564745662299432
"ABHD10",0.337416495559887,0.896354971584283,0.19985839015846,0.213893152258504,0.14907713196268,1.12488778489492,-0.213967180762241,0.247773195025947,-0.0844577352820475,-0.495113875680457,-0.311298857642637,-0.092452095953868,-0.328209082513651,0.350358930643298,0.0792368067606132,-0.0368171102850876,0.413566083359884,0.204755948011858,0.453120341087253,0.0361482457595754,0.161230299722887,0.30141558601658
"ABHD12B",0.842415748275901,0.570295867233059,0.924682160608592,-0.00435812993013057,-0.107039724546069,0.834218712163023,0.121834723630855,1.65720035379816,0.0583464780169998,-0.836778358208685,-0.235553866193324,-0.363753656412437,0.840959533723967,0.132423043450207,-0.165230677299329,0.162070073709479,0.752831544985962,0.178532928733699,0.208539270030175,-0.108408194735242,1.00009521947374,0.138438283855085
